,start_hour,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,trip_duration,gender,time_of_day
25795,16,40.75172632,-73.98753523,40.75828065,-73.97069431,668,1,Evening and night
25796,15,40.69363137,-73.96223558,40.689888,-73.981013,855,2,Mid-day& Afternoon
25797,9,40.75320159,-73.9779874,40.75645824,-73.99372222,481,1,Mid-day& Afternoon
25798,8,40.74025878,-73.98409214,40.70355377,-74.00670227,1493,1,Mid-day& Afternoon
25799,7,40.71173107,-73.99193043,40.70706456,-74.00731853,664,2,Morning hours
25800,8,40.75640548,-73.9900262,40.724399,-74.004704,1445,1,Mid-day& Afternoon
25801,8,40.68926942,-73.98912867,40.70905623,-74.01043382,1131,2,Mid-day& Afternoon
25802,13,40.76020258,-73.96478473,40.76344058,-73.98268129,668,1,Mid-day& Afternoon
25803,14,40.75188406,-73.97770164,40.75640548,-73.9900262,376,1,Mid-day& Afternoon
25804,12,40.73454567,-73.99074142,40.72903917,-73.99404649,185,1,Mid-day& Afternoon
25805,16,40.73454567,-73.99074142,40.72217444,-73.98368779,481,1,Evening and night
25806,16,40.71754834,-74.01322069,40.74734825,-73.99723551,1401,1,Evening and night
25807,8,40.73587678,-73.98205027,40.75929124,-73.98859651,595,2,Mid-day& Afternoon
25808,17,40.73331967,-73.99510132,40.73172428,-74.00674436,298,1,Evening and night
25809,19,40.76727216,-73.99392888,40.75934501,-73.96759673,795,1,Evening and night
25810,17,40.75645824,-73.99372222,40.73331967,-73.99510132,2697,2,Evening and night
25811,16,40.73416059,-73.98024289,40.74315566,-73.97434726,379,1,Evening and night
25812,20,40.72779126,-73.98564945,40.72217444,-73.98368779,343,2,Evening and night
25813,11,40.73226398,-73.99852205,40.73543934,-73.99453948,278,1,Mid-day& Afternoon
25814,15,40.75066386,-74.00176802,40.746647,-73.993915,265,2,Mid-day& Afternoon
25815,15,40.734232,-73.986923,40.73047309,-73.98672378,648,2,Mid-day& Afternoon
25816,21,40.75044999,-73.99481051,40.72710258,-74.00297088,1412,1,Evening and night
25817,19,40.73038599,-74.00214988,40.75797322,-73.96603308,1697,2,Evening and night
25818,18,40.74854862,-73.98808416,40.72019576,-73.98997825,920,1,Evening and night
25819,19,40.72453734,-73.98185424,40.74854862,-73.98808416,117,1,Evening and night
25820,9,40.75797322,-73.96603308,40.76695317,-73.98169333,740,1,Mid-day& Afternoon
25821,14,40.70037867,-73.99548059,40.69089272,-73.99612349,710,2,Mid-day& Afternoon
25822,7,40.75992262,-73.97648516,40.7451677,-73.98683077,487,2,Morning hours
25823,14,40.75066386,-74.00176802,40.73291553,-74.00711384,807,1,Mid-day& Afternoon
25824,5,40.7403432,-73.98955109,40.74334935,-74.00681753,567,1,Morning hours
25825,18,40.75320159,-73.9779874,40.75019995,-73.99093085,590,1,Evening and night
25826,16,40.72938685,-73.97772429,40.72938685,-73.97772429,1153,1,Evening and night
25827,12,40.714215,-73.981346,40.72243797,-74.00566443,990,1,Mid-day& Afternoon
25828,21,40.73454567,-73.99074142,40.73401143,-74.00293877,2302,1,Evening and night
25829,9,40.73223272,-73.98889957,40.7390169121,-74.0026376103,427,2,Mid-day& Afternoon
25830,13,40.72743423,-73.99379025,40.74147286,-73.98320928,897,2,Mid-day& Afternoon
25831,9,40.71219906,-73.97948148,40.71413089,-73.9970468,570,1,Mid-day& Afternoon
25832,7,40.744219,-73.97121214,40.75714758,-73.97207836,691,1,Morning hours
25833,19,40.7606597,-73.98042047,40.76915505,-73.98191841,590,1,Evening and night
25834,12,40.74206539,-74.00443172,40.74173969,-73.99415556,330,1,Mid-day& Afternoon
25835,9,40.74315566,-73.97434726,40.69580705,-73.97355569,667,2,Mid-day& Afternoon
